INFO 2024-09-30 21:04:10,421 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-30 21:04:10,422 autoreload Waiting for apps ready_event.
DEBUG 2024-09-30 21:04:10,518 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-30 21:04:10,560 autoreload Watching dir C:\Users\natan\PycharmProjects\Dimlopniy project\venv\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-09-30 21:04:10,560 autoreload Watching dir C:\Users\natan\PycharmProjects\Dimlopniy project\venv\lib\site-packages\drf_spectacular\templates with glob **/*.
DEBUG 2024-09-30 21:04:10,561 autoreload Watching dir C:\Users\natan\PycharmProjects\Dimlopniy project\silant\locale with glob **/*.mo.
DEBUG 2024-09-30 21:04:10,561 autoreload Watching dir C:\Users\natan\PycharmProjects\Dimlopniy project\silant\accounts\locale with glob **/*.mo.
DEBUG 2024-09-30 21:04:10,562 autoreload Watching dir C:\Users\natan\PycharmProjects\Dimlopniy project\silant\service\locale with glob **/*.mo.
DEBUG 2024-09-30 21:04:10,562 autoreload Watching dir C:\Users\natan\PycharmProjects\Dimlopniy project\silant\maintenance\locale with glob **/*.mo.
DEBUG 2024-09-30 21:04:10,562 autoreload Watching dir C:\Users\natan\PycharmProjects\Dimlopniy project\silant\complaints\locale with glob **/*.mo.
DEBUG 2024-09-30 21:04:10,563 autoreload Watching dir C:\Users\natan\PycharmProjects\Dimlopniy project\venv\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-09-30 21:04:10,563 autoreload Watching dir C:\Users\natan\PycharmProjects\Dimlopniy project\venv\lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-09-30 21:04:10,563 autoreload Watching dir C:\Users\natan\PycharmProjects\Dimlopniy project\venv\lib\site-packages\drf_spectacular\locale with glob **/*.mo.
DEBUG 2024-09-30 21:04:10,618 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-09-30 21:04:10,621 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-09-30 21:04:10,708 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1726632477.2864022
DEBUG 2024-09-30 21:04:10,708 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1726632477.4463997
DEBUG 2024-09-30 21:04:10,709 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\rest_framework\views.py first seen with mtime 1727161829.5104034
DEBUG 2024-09-30 21:04:10,709 autoreload File C:\Users\natan\AppData\Local\Programs\Python\Python39\Lib\_collections_abc.py first seen with mtime 1652784310.0
DEBUG 2024-09-30 21:04:10,709 autoreload File C:\Users\natan\AppData\Local\Programs\Python\Python39\Lib\json\scanner.py first seen with mtime 1652784310.0
DEBUG 2024-09-30 21:04:10,709 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1726632477.6524
DEBUG 2024-09-30 21:04:10,709 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\yaml\reader.py first seen with mtime 1727248367.007008
DEBUG 2024-09-30 21:04:10,710 autoreload File C:\Users\natan\AppData\Local\Programs\Python\Python39\Lib\asyncio\format_helpers.py first seen with mtime 1652784310.0
DEBUG 2024-09-30 21:04:10,710 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1726632477.651399
DEBUG 2024-09-30 21:04:10,710 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\rest_framework\serializers.py first seen with mtime 1727161829.5064046
DEBUG 2024-09-30 21:04:10,710 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\drf_spectacular\contrib\rest_auth.py first seen with mtime 1727249005.8425786
DEBUG 2024-09-30 21:04:10,710 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\typing_extensions.py first seen with mtime 1726632474.1686363
DEBUG 2024-09-30 21:04:10,711 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\silant\accounts\apps.py first seen with mtime 1726632652.6693473
DEBUG 2024-09-30 21:04:10,711 autoreload File C:\Users\natan\AppData\Local\Programs\Python\Python39\Lib\__future__.py first seen with mtime 1652784310.0
DEBUG 2024-09-30 21:04:10,711 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1726632477.6504211
DEBUG 2024-09-30 21:04:10,711 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\db\models\options.py first seen with mtime 1726632477.9963715
DEBUG 2024-09-30 21:04:10,711 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1726632478.084371
DEBUG 2024-09-30 21:04:10,712 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\rest_framework\test.py first seen with mtime 1727161829.5074043
DEBUG 2024-09-30 21:04:10,712 autoreload File C:\Users\natan\AppData\Local\Programs\Python\Python39\Lib\email\_header_value_parser.py first seen with mtime 1652784310.0
DEBUG 2024-09-30 21:04:10,712 autoreload File C:\Users\natan\AppData\Local\Programs\Python\Python39\Lib\email\header.py first seen with mtime 1652784310.0
DEBUG 2024-09-30 21:04:10,712 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\yaml\events.py first seen with mtime 1727248367.003986
DEBUG 2024-09-30 21:04:10,712 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\rest_framework_simplejwt\__init__.py first seen with mtime 1727161829.8784041
DEBUG 2024-09-30 21:04:10,713 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\forms\renderers.py first seen with mtime 1726632478.0233722
DEBUG 2024-09-30 21:04:10,713 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\utils\duration.py first seen with mtime 1726632478.1313722
DEBUG 2024-09-30 21:04:10,713 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\drf_spectacular\contrib\rest_framework_simplejwt.py first seen with mtime 1727249005.847579
DEBUG 2024-09-30 21:04:10,713 autoreload File C:\Users\natan\AppData\Local\Programs\Python\Python39\Lib\sre_compile.py first seen with mtime 1652784310.0
DEBUG 2024-09-30 21:04:10,713 autoreload File C:\Users\natan\AppData\Local\Programs\Python\Python39\Lib\email\mime\message.py first seen with mtime 1652784310.0
DEBUG 2024-09-30 21:04:10,714 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1726632477.9423726
DEBUG 2024-09-30 21:04:10,714 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1726632475.325558
DEBUG 2024-09-30 21:04:10,714 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1726632477.9453719
DEBUG 2024-09-30 21:04:10,714 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\drf_spectacular\contrib\rest_framework.py first seen with mtime 1727249005.843578
DEBUG 2024-09-30 21:04:10,714 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1726632475.4855542
DEBUG 2024-09-30 21:04:10,714 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\silant\maintenance\serializers.py first seen with mtime 1727162362.710416
DEBUG 2024-09-30 21:04:10,715 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\test\utils.py first seen with mtime 1726632478.1163714
DEBUG 2024-09-30 21:04:10,715 autoreload File C:\Users\natan\AppData\Local\Programs\Python\Python39\Lib\socket.py first seen with mtime 1652784310.0
DEBUG 2024-09-30 21:04:10,715 autoreload File C:\Users\natan\AppData\Local\Programs\Python\Python39\Lib\email\mime\nonmultipart.py first seen with mtime 1652784310.0
DEBUG 2024-09-30 21:04:10,715 autoreload File C:\Users\natan\AppData\Local\Programs\Python\Python39\DLLs\select.pyd first seen with mtime 1652784362.0
DEBUG 2024-09-30 21:04:10,715 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\utils\cache.py first seen with mtime 1726632478.1243718
DEBUG 2024-09-30 21:04:10,716 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1726632477.8963733
DEBUG 2024-09-30 21:04:10,716 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1726632478.0983727
DEBUG 2024-09-30 21:04:10,716 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1726632477.8943925
DEBUG 2024-09-30 21:04:10,716 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1726632477.9023716
DEBUG 2024-09-30 21:04:10,716 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1726632478.010371
DEBUG 2024-09-30 21:04:10,717 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1726632478.017372
DEBUG 2024-09-30 21:04:10,717 autoreload File C:\Users\natan\PycharmProjects\Dimlopniy project\venv\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1726632474.2066386
